aniocampana,codvendedora,codregion,probs,Perfil_Riesgo
202507,053454100,80,1,2 - Riesgo Medio
202507,053438091,4,0,1 - Riesgo Bajo
202507,050258629,80,1,3 - Riesgo Alto
202507,053524966,80,1,3 - Riesgo Alto
202507,052367042,80,0,1 - Riesgo Bajo
202507,038100866,60,0,1 - Riesgo Bajo
202507,049602200,60,1,3 - Riesgo Alto
202507,053465803,60,1,3 - Riesgo Alto
202507,047008190,4,0,1 - Riesgo Bajo
202507,052580900,80,0,1 - Riesgo Bajo
202507,046547756,60,0,1 - Riesgo Bajo
202507,051436075,4,0,1 - Riesgo Bajo
202507,034847290,80,0,1 - Riesgo Bajo
202507,049352530,80,0,1 - Riesgo Bajo
202507,053074847,80,0,2 - Riesgo Medio
202507,039275902,80,0,2 - Riesgo Medio
202507,052988608,80,0,2 - Riesgo Medio
202507,000376809,4,0,2 - Riesgo Medio
